student_id,course_code,requirement_type,requirement_priority,deadline_term,substitute_group_id,notes
S001,MATH101,required,progress_blocking,current,,MVP required math course
S001,CS101,required,degree_blocking,current,,MVP required CS course
S002,MATH101,required,progress_blocking,current,,MVP required math course
S002,CS101,required,degree_blocking,current,,MVP required CS course
S003,MATH101,required,progress_blocking,current,,MVP required math course
S003,CS101,required,degree_blocking,current,,MVP required CS course
S004,MATH101,required,progress_blocking,current,,MVP required math course
S004,CS101,required,degree_blocking,current,,MVP required CS course
S005,MATH101,required,progress_blocking,current,,MVP required math course
S005,CS101,required,degree_blocking,current,,MVP required CS course
S006,MATH101,required,progress_blocking,current,,MVP required math course
S006,CS101,required,degree_blocking,current,,MVP required CS course
