student_id,course_id,eligible,utility
S001,MATH101-A,true,31
S001,MATH101-B,true,58
S001,CS101-A,true,83
S001,CS101-B,true,44
S001,WINE201-A,true,35
S001,ART110-A,true,13
S001,ENG101-A,true,63
S001,PE101-A,true,14
S002,MATH101-A,true,48
S002,MATH101-B,true,39
S002,CS101-A,true,66
S002,CS101-B,true,71
S002,WINE201-A,true,64
S002,ART110-A,true,59
S002,ENG101-A,true,26
S002,PE101-A,true,51
S003,MATH101-A,true,48
S003,MATH101-B,true,47
S003,CS101-A,true,69
S003,CS101-B,true,61
S003,WINE201-A,true,50
S003,ART110-A,true,42
S003,ENG101-A,true,19
S003,PE101-A,true,47
S004,MATH101-A,true,70
S004,MATH101-B,true,81
S004,CS101-A,true,61
S004,CS101-B,true,52
S004,WINE201-A,true,36
S004,ART110-A,true,49
S004,ENG101-A,true,47
S004,PE101-A,true,67
S005,MATH101-A,true,65
S005,MATH101-B,true,85
S005,CS101-A,true,36
S005,CS101-B,true,66
S005,WINE201-A,true,61
S005,ART110-A,true,27
S005,ENG101-A,true,65
S005,PE101-A,true,32
S006,MATH101-A,true,24
S006,MATH101-B,true,68
S006,CS101-A,true,73
S006,CS101-B,true,24
S006,WINE201-A,true,20
S006,ART110-A,true,52
S006,ENG101-A,true,70
S006,PE101-A,true,38
